Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,globalTargetVector.x,globalTargetVector.y,globalTargetVector.z,localEyeGazeX,localEyeGazeY,localEyeGazeZ,CalibratedGazeAngleX,CalibratedGazeAngleY,cosineError,euclideanError,recalibratedEuclideanError
0,05/18/2023 13:32:27.845324,183,True,True,True,True,Eyes,1.149846,-0.2865897,-3.026864,-0.2806419,0.1230715,0.9518894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.218914,0.5338799,2.976128,1.15215,-0.2871825,-3.036148,0.04414674,0.009999309,-0.008007296,0.998943,5.069283,1.108522,359.1306,0.3537299,-0.08817773,-0.9311817,0,0,0,0.6164088,-0.04844559,-1.08172,-0.5796001,0.4008,1.915,0.9996718,-0.01511479,-0.02068447,0.01688054,0.9959739,0.08804001,0.01927048,-0.08836029,0.9959021,moving,-17.964933482780427,12.211808219659492,-16.839134328329035,11.821088380307142,-0.5357412,0.23873691000000002,1.9544279999999998,-0.3020993174687171,0.2016429637531908,0.9317059716101349,-17.640336105776665,11.745041444502201,1.144774162004307,1.1916734993390585,0.8048027240451932
1,05/18/2023 13:32:27.855095,184,True,True,True,True,Eyes,1.149866,-0.2865968,-3.026858,-0.280543,0.1230376,0.951923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.218467,0.5316085,2.97669,1.152143,-0.2873466,-3.036108,0.04383453,0.009895002,-0.008251628,0.9989557,5.033651,1.095543,359.1016,0.3537306,-0.08817656,-0.9311816,0,0,0,0.6199743,-0.04982984,-1.082241,-0.5757424,0.3981324,1.915,0.999668,-0.01561854,-0.02049275,0.01735351,0.9960209,0.08741421,0.01904593,-0.08774082,0.9959612,moving,-17.948460252580443,12.164678016140247,-16.733340844325067,11.744603340461477,-0.5321686999999999,0.23751676,1.953867,-0.3018790474391857,0.20089121274240648,0.9319397969567857,-17.622509458523478,11.698631525514376,1.2355978953945619,1.285681885018809,0.890356238954416
2,05/18/2023 13:32:27.875185,185,True,True,True,True,Eyes,1.149883,-0.2866054,-3.026857,-0.2804673,0.1229247,0.9519599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.218648,0.5370784,2.975662,1.152101,-0.2876396,-3.036124,0.04464091,0.009946423,-0.008099579,0.9989208,5.126019,1.101586,359.1202,0.3537318,-0.08817572,-0.9311811,0,0,0,0.6235104,-0.05593225,-1.082126,-0.5722016,0.395684,1.915,0.9996709,-0.01529364,-0.02059452,0.01706971,0.9958832,0.08902435,0.01914823,-0.0893466,0.9958165,moving,-17.95310033016299,12.256068902340777,-16.63613451028037,11.674365780106434,-0.5285906,0.23170734999999998,1.9539980000000001,-0.3018601306534614,0.20237874077983325,0.9316240369642865,-17.629248268062735,11.788646063346066,1.3763961000333043,1.4397143790197693,0.9996674042069885
3,05/18/2023 13:32:27.895290,186,True,True,True,True,Eyes,1.149929,-0.2866085,-3.02686,-0.2803981,0.1227058,0.9520085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.217209,0.5436621,2.975149,1.152046,-0.2876673,-3.036234,0.04560982,0.009749678,-0.007795589,0.9988813,5.236651,1.079808,359.1551,0.3537334,-0.08817521,-0.9311806,0,0,0,0.6263382,-0.06280552,-1.082345,-0.5682927,0.3929809,1.915,0.9996884,-0.01468437,-0.02018865,0.0164631,0.9957179,0.09096559,0.01876643,-0.09126961,0.9956493,moving,-17.927660064177378,12.363697748031313,-16.52870809361536,11.59678026880503,-0.5257078,0.22486178,1.953889,-0.3013323409594997,0.20416415983624792,0.9314052866715576,-17.60568458818184,11.894677069237488,1.517688966320465,1.5953773960671958,1.117417054441447
4,05/18/2023 13:32:27.907726,187,True,True,True,True,Eyes,1.149975,-0.2866084,-3.026863,-0.280331,0.1224794,0.9520575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.216113,0.5493929,2.974646,1.152108,-0.2875103,-3.036325,0.04654993,0.009563919,-0.007698305,0.9988406,5.344227,1.058269,359.1662,0.353736,-0.08817481,-0.9311796,0,0,0,0.6295074,-0.06918947,-1.082556,-0.5643342,0.3902435,1.915,0.9996985,-0.01448836,-0.01982237,0.01626916,0.9955477,0.09284466,0.01838895,-0.09313916,0.9954833,moving,-17.906984317092682,12.460459335951832,-16.41979658047193,11.518166297715986,-0.5226005999999999,0.21832083,1.953769,-0.30089305031050645,0.20576678123453954,0.9311946951668196,-17.586738227080396,11.990000512935833,1.6694649926271141,1.7605804536751204,1.2587217060341027
5,05/18/2023 13:32:27.925663,188,True,True,True,True,Eyes,1.150038,-0.2865997,-3.02687,-0.2802255,0.1222555,0.9521173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.216261,0.550612,2.974385,1.152179,-0.2874289,-3.03633,0.04675093,0.009581488,-0.007655286,0.9988313,5.367252,1.060372,359.1715,0.3537396,-0.08817438,-0.9311783,0,0,0,0.6335071,-0.0727068,-1.08279,-0.5603976,0.3875213,1.915,0.9996992,-0.01439679,-0.01985636,0.01618856,0.9955115,0.09324589,0.01842479,-0.09353928,0.9954451,moving,-17.902417114956513,12.471453734916127,-16.311366465683292,11.439945226560045,-0.5186719000000001,0.21472209999999997,1.95354,-0.3008068773792852,0.2059513261678264,0.9311817034611597,-17.582324819625676,12.000833159206834,1.7976516307496067,1.8961677065501685,1.38921935289022
6,05/18/2023 13:32:27.945562,189,True,True,True,True,Eyes,1.150102,-0.2865898,-3.026875,-0.2801018,0.1221159,0.9521716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.216042,0.5480131,2.97505,1.152226,-0.287217,-3.036426,0.04642413,0.009513257,-0.007846433,0.9988457,5.32991,1.051745,359.1488,0.3537444,-0.08817365,-0.9311765,0,0,0,0.6374561,-0.07388583,-1.08343,-0.5563076,0.3846932,1.915,0.9996959,-0.01479146,-0.01973308,0.01655804,0.9955664,0.0925918,0.01827602,-0.09289037,0.9955086,moving,-17.887057643487097,12.418254618624138,-16.198583743839123,11.358635375082521,-0.5147699,0.21333117000000001,1.9529960000000002,-0.3006121610959854,0.20509983556072023,0.9314324738255461,-17.56549993949964,11.94844466476372,1.8921045608137996,1.9934234500166153,1.4887360021687073
7,05/18/2023 13:32:27.955180,190,True,True,True,True,Eyes,1.150169,-0.2865797,-3.026881,-0.2799101,0.1220216,0.9522401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.217778,0.5418816,2.975457,1.152316,-0.2871941,-3.036388,0.04549307,0.009765688,-0.008056197,0.9988845,5.223556,1.080369,359.1251,0.3537504,-0.08817261,-0.9311744,0,0,0,0.6423371,-0.07263674,-1.083824,-0.5526028,0.3821313,1.915,0.9996794,-0.01520588,-0.02024259,0.01698296,0.9957309,0.09072729,0.01877658,-0.091042,0.99567,moving,-17.900217441267255,12.299197723114588,-16.096311523405706,11.284938909605753,-0.5099788999999999,0.21455736,1.9525640000000002,-0.30095162674073894,0.20314114046690718,0.9317520799056407,-17.576295437151153,11.83116644314868,1.9702341743204512,2.0694920877539658,1.5775667666839581
8,05/18/2023 13:32:27.975401,191,True,True,True,True,Eyes,1.150234,-0.2865755,-3.026891,-0.2797054,0.1219824,0.9523052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.21908,0.5365415,2.975927,1.152389,-0.2871957,-3.036395,0.04458182,0.009985037,-0.007996223,0.9989239,5.11916,1.106602,359.1322,0.3537576,-0.0881713,-0.9311718,0,0,0,0.6468874,-0.07175944,-1.0843,-0.5489188,0.3795837,1.915,0.9996728,-0.01508493,-0.02066156,0.01686554,0.9958971,0.088908,0.01923561,-0.08922736,0.9958255,moving,-17.90451727691192,12.194856200347541,-15.994508912995936,11.211616268474101,-0.5055016000000001,0.21543626,1.9520950000000001,-0.30113005900414774,0.20143207463207036,0.932065350455395,-17.578383926881145,11.728389146632448,2.050309018407477,2.1482301352181765,1.6660474984855418
9,05/18/2023 13:32:27.995331,192,True,True,True,True,Eyes,1.150296,-0.2865786,-3.026905,-0.2794485,0.1219274,0.9523876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.22063,0.5325541,2.976147,1.152379,-0.2873445,-3.036521,0.04392928,0.0102371,-0.008082609,0.9989496,5.044633,1.135639,359.1229,0.3537657,-0.08816991,-0.9311689,0,0,0,0.6518328,-0.07207904,-1.084768,-0.5449634,0.3768484,1.915,0.9996598,-0.01524882,-0.02116282,0.01704765,0.9960098,0.08760079,0.01974257,-0.08793175,0.9959309,moving,-17.914001830841826,12.114373119355777,-15.885090970743672,11.13284999606212,-0.5005462,0.21526546000000002,1.951753,-0.30136786875288823,0.20010682928435555,0.932273865456859,-17.586281531859047,11.64910801950399,2.155077636147666,2.2538560113246735,1.7777996715029931
