Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,globalTargetVector.x,globalTargetVector.y,globalTargetVector.z,localEyeGazeX,localEyeGazeY,localEyeGazeZ,CalibratedGazeAngleX,CalibratedGazeAngleY,cosineError,euclideanError,recalibratedEuclideanError
0,05/18/2023 19:02:52.867777,181,True,True,True,True,Eyes,1.234386,-0.3250057,-2.961172,-0.3691796,0.257443,0.892989,2.017642,0.4895138,0.1944224,-1.159439,-0.2404294,0.08790959,-0.9666776,-0.5845969,0.4028859,1.901014,1.245126,-0.3268271,-2.969211,-0.02915392,-0.04786874,-0.007454272,0.9984003,356.6217,354.5305,359.3059,0.3831079,-0.1007631,-0.9181909,0,0,0,0.4931196,0.193104,-1.144941,-0.5796,0.4008,1.915,0.9953061,-0.01209357,0.09601896,0.01767582,0.9981889,-0.05750091,-0.09514968,0.05892821,0.9937173,moving,-16.895988435980176,11.987969493533878,-16.839131587459715,11.821088380307142,-0.7520064,0.5199311,1.82427,-0.28481621205812413,0.19910353430697314,0.9376765633210067,-16.875202432603306,12.688381419313137,0.1665367736218238,0.17630089953109562,0.868042810797732
1,05/18/2023 19:02:52.883993,182,True,True,True,True,Eyes,1.234266,-0.3250108,-2.961173,-0.3691449,0.2574169,0.893011,2.021001,0.4882243,0.1952291,-1.156396,-0.5596563,0.2834539,-0.7787417,-0.5852664,0.402905,1.904449,1.24511,-0.3268183,-2.969236,-0.02935877,-0.0479134,-0.007313521,0.9983932,356.599,354.525,359.3233,0.3830777,-0.1007658,-0.9182032,0,0,0,0.496615,0.1909793,-1.144721,-0.575743,0.3981329,1.915,0.9953017,-0.01179018,0.09610225,0.01741689,0.9981692,-0.05792236,-0.09524339,0.05932402,0.9936848,moving,-16.883186061686068,11.96814946838096,-16.733357307869216,11.744617680376429,-0.7484949999999999,0.5177976,1.8245149999999999,-0.2846251509157471,0.19879094993904092,0.9378010158936392,-16.862351605456784,12.668101454448854,0.2530059901403322,0.26910056803881544,0.9324493604401042
2,05/18/2023 19:02:52.903940,183,True,True,True,True,Eyes,1.234193,-0.3250171,-2.96117,-0.3691231,0.2573996,0.8930249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9577929,0.1312518,3.088517,1.24517,-0.3268314,-2.969219,-0.0296196,-0.04790669,-0.007188659,0.9983868,356.5698,354.5254,359.339,0.3830474,-0.1007686,-0.9182155,0,0,0,0.5005289,0.1889691,-1.144418,-0.5717503,0.3953717,1.915,0.9953066,-0.01151617,0.09608467,0.01719208,0.998142,-0.05845486,-0.09523296,0.0598324,0.9936553,moving,-16.877030784748733,11.942374944152585,-16.623737778557704,11.665404226655903,-0.7446411000000001,0.5158005,1.824801,-0.2845489183532502,0.19837372380320817,0.9379123987997083,-16.85624690933055,12.64205921378992,0.3534497193339081,0.3753266914781243,1.0039499289239937
3,05/18/2023 19:02:52.913653,184,True,True,True,True,Eyes,1.234121,-0.3250265,-2.961166,-0.3690858,0.2573727,0.8930482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9588662,0.1309008,3.088212,1.245263,-0.3268612,-2.96919,-0.02964433,-0.04775576,-0.007294364,0.9983925,356.5665,354.5432,359.3265,0.3830181,-0.1007713,-0.9182274,0,0,0,0.5049964,0.1865173,-1.143672,-0.5679683,0.3927566,1.915,0.9953324,-0.0117339,0.09579044,0.01739665,0.998136,-0.05849664,-0.09492549,0.05989003,0.9936812,moving,-16.894151477509634,11.934785213885124,-16.519787378761034,11.590340374081586,-0.7402666,0.5133785,1.8255180000000002,-0.28483754573480036,0.19823177969108483,0.9378549227095041,-16.873587449145095,12.63498679995682,0.4801769420703002,0.5087147787308097,1.1029327472233597
4,05/18/2023 19:02:52.933416,185,True,True,True,True,Eyes,1.234069,-0.3250374,-2.961161,-0.3690337,0.2573378,0.8930798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9603629,0.1318548,3.087677,1.245234,-0.3269442,-2.969163,-0.029529,-0.04750514,-0.007220922,0.9984083,356.5803,354.5717,359.3334,0.3829899,-0.1007742,-0.9182389,0,0,0,0.5096058,0.1832073,-1.142632,-0.5641142,0.3900913,1.915,0.9953822,-0.0116133,0.09528551,0.01722441,0.9981518,-0.05827794,-0.09443259,0.05965007,0.9937426,moving,-16.918369951841914,11.950104539592214,-16.41374005957733,11.513794051635408,-0.7356282,0.5101515,1.826531,-0.2852205694392818,0.19845894819142543,0.9376904696455303,-16.89799842333214,12.651112618781731,0.6304296328961588,0.6670968221091099,1.2361228442360628
5,05/18/2023 19:02:52.953882,186,True,True,True,True,Eyes,1.234016,-0.325047,-2.961155,-0.3689816,0.257309,0.8931096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9607887,0.133686,3.087438,1.245159,-0.326976,-2.969162,-0.02929854,-0.04741359,-0.007042431,0.9984208,356.6077,354.5815,359.3523,0.3829632,-0.1007772,-0.9182497,0,0,0,0.5137185,0.1792143,-1.14171,-0.5600184,0.3872591,1.915,0.9954047,-0.01128432,0.09509008,0.01684091,0.998184,-0.05783672,-0.09426476,0.05917234,0.9937871,moving,-16.9228613631342,11.981692420393207,-16.300915384212587,11.432408751934224,-0.7314404999999999,0.5061903,1.8274519999999999,-0.28526371584546245,0.19897320803735066,0.9375683309162508,-16.902394805663818,12.682932494983664,0.7841418594267612,0.8297766863033216,1.3876552620732892
6,05/18/2023 19:02:52.964096,187,True,True,True,True,Eyes,1.233936,-0.3250585,-2.961154,-0.3689021,0.2572671,0.8931544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9609021,0.1334395,3.087353,1.24509,-0.326938,-2.969132,-0.02936145,-0.04737828,-0.006965498,0.9984212,356.6009,354.5853,359.3614,0.3829378,-0.1007802,-0.9182599,0,0,0,0.5173162,0.1768204,-1.141197,-0.556358,0.3847278,1.915,0.9954135,-0.01112681,0.09501599,0.01669119,0.9981788,-0.05797016,-0.09419791,0.05929021,0.9937865,moving,-16.919114916314296,11.974864649239315,-16.199974322985394,11.359630430130803,-0.7277738,0.5037583999999999,1.827935,-0.28520878102437097,0.1988648499637925,0.9376079271431373,-16.89863885331209,12.675967181702788,0.8951010710045723,0.9464017843049037,1.4902598999757415
7,05/18/2023 19:02:52.983673,188,True,True,True,True,Eyes,1.233857,-0.3250737,-2.961151,-0.3688255,0.2572269,0.8931977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9609786,0.1333624,3.087416,1.245042,-0.327014,-2.969231,-0.02943427,-0.04734635,-0.006832603,0.9984214,356.5933,354.5885,359.3769,0.3829128,-0.1007835,-0.91827,0,0,0,0.5216421,0.1737319,-1.140722,-0.5519165,0.3816566,1.915,0.9954233,-0.01085642,0.09494544,0.01643084,0.9981738,-0.05812862,-0.09414099,0.05942261,0.9937839,moving,-16.913676153681667,11.969162104112927,-16.077354393736275,11.271279369060812,-0.7233999,0.5007459000000001,1.8285090000000002,-0.28512500291529047,0.19877671671025163,0.9376521788091775,-16.893167148706723,12.67007703496874,1.0310447956749291,1.0892540557840389,1.619316325281117
8,05/18/2023 19:02:53.003685,189,True,True,True,True,Eyes,1.233792,-0.3250857,-2.961155,-0.3687803,0.2571785,0.8932303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9611899,0.1334785,3.087301,1.245028,-0.3271126,-2.969181,-0.02949759,-0.04729713,-0.00665261,0.9984232,356.5871,354.5936,359.3977,0.3828883,-0.1007869,-0.9182798,0,0,0,0.5251433,0.1711559,-1.140185,-0.5483709,0.3792047,1.915,0.9954374,-0.01049394,0.09483758,0.01607454,0.9981712,-0.05827285,-0.09405262,0.05953145,0.9937857,moving,-16.911045780998876,11.966103806662954,-15.979359521192176,11.200705059520812,-0.7198847,0.4982685,1.8289959999999998,-0.28508476244070313,0.19872914876801093,0.9376744973723556,-16.89052221002284,12.666927145710222,1.1419885510804941,1.205767195124895,1.7262747902772462
9,05/18/2023 19:02:53.013644,190,True,True,True,True,Eyes,1.233727,-0.3250824,-2.961158,-0.3687361,0.2571332,0.8932616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9594288,0.1346068,3.087937,1.245024,-0.3270413,-2.969332,-0.02935797,-0.04756892,-0.006487078,0.9984155,356.6038,354.5618,359.4168,0.3828644,-0.1007905,-0.9182894,0,0,0,0.5274057,0.1680582,-1.140122,-0.544893,0.3767997,1.915,0.9953902,-0.01016054,0.09536798,0.01574665,0.9981921,-0.05800573,-0.09460618,0.05924007,0.9937506,moving,-16.874043846294683,11.983214358571947,-15.883142420501466,11.131447233519985,-0.7176182999999999,0.49509949999999997,1.82921,-0.2844603868570965,0.19904767635297604,0.9377965615567171,-16.8530419163642,12.682921680538218,1.2370788752485207,1.306672442105639,1.8296934147078632
