,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,globalTargetVector.x,globalTargetVector.y,globalTargetVector.z,localEyeGazeX,localEyeGazeY,localEyeGazeZ,CalibratedGazeAngleX,CalibratedGazeAngleY,cosineError,euclideanError,recalibratedEuclideanError
302,05/08/2023 09:15:21.987476,481,True,True,True,True,Eyes,0.1555936,0.2418103,-3.600224,0.7972917,-0.4380744,0.415231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.109111,-0.006691352,1.522364,-0.001184662,0.2268697,-3.454379,0.1402877,0.5228856,-0.1662555,0.824178,23.89797,63.08781,351.9938,0.05542003,0.06690945,-0.9962181,0.0,0.0,0.0,1.528713,-0.5535375,-2.859674,0.1678042,-0.02870815,1.809507,0.3978995,-0.1273394,-0.9085487,0.4207571,0.9053569,0.05737884,0.8152543,-0.4051093,0.4138201,static,-0.2426059603159903,-2.138919683670309,5.298157533422586,-0.908931464727704,1.529897662,-0.7804072,0.5947049999999998,-0.0042313101034937,-0.0373221868447572,0.9992943353032594,0.7606242346305071,-3.235724567610087,5.674468032599818,5.675643673829755,5.09933079739567
303,05/08/2023 09:15:22.007515,482,True,True,True,True,Eyes,0.1493816,0.2409416,-3.593128,0.7991092,-0.438213,0.4115748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.112514,-0.01563588,1.489268,-0.003687729,0.2246604,-3.443171,0.1403671,0.5270224,-0.1674862,0.8212752,24.02267,63.67238,351.9979,0.05418661,0.06691418,-0.9962857,0.0,0.0,0.0,1.528713,-0.5535375,-2.859674,0.1615748,-0.02405717,1.807658,0.3883915,-0.1271513,-0.9126799,0.4230577,0.9044908,0.0540221,0.8186416,-0.407098,0.4050889,static,-0.5475034866762143,-2.066413781533772,5.107723638097638,-0.7624743947857511,1.532400729,-0.7781979,0.5834969999999999,-0.0095493794925768,-0.0360562612592435,0.999304117005425,0.48715257851957,-3.168715447743109,5.802470298302041,5.80360678863504,5.209575119100187
304,05/08/2023 09:15:22.027584,483,True,True,True,True,Eyes,0.1433644,0.2400999,-3.585911,0.8009956,-0.4381234,0.4079877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.114067,-0.02242815,1.459322,-0.005635217,0.2232801,-3.431858,0.1403337,0.5306985,-0.1679094,0.8188236,24.08149,64.2014,352.0655,0.05291286,0.06690809,-0.9963545,0.0,0.0,0.0,1.528713,-0.5535375,-2.859674,0.157212,-0.02244426,1.805504,0.3803311,-0.1260267,-0.9162236,0.4239261,0.9042258,0.05159846,0.8219702,-0.4080355,0.3973312,static,-0.7997598770681116,-2.0373761699682085,4.976406815124329,-0.7122084129598422,1.534348217,-0.7768176,0.572184,-0.0139491681566081,-0.0355479706192163,0.9992706293546332,0.2564856261820289,-3.143881772739276,5.925039244838459,5.926227403686762,5.309490687296427
305,05/08/2023 09:15:22.037487,484,True,True,True,True,Eyes,0.1375195,0.239237,-3.578544,0.802941,-0.4379419,0.4043423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.111672,-0.03630136,1.437988,-0.007412168,0.2232124,-3.420783,0.1389251,0.5335492,-0.1682438,0.8171409,23.98989,64.58836,352.0279,0.05160778,0.06689317,-0.996424,0.0,0.0,0.0,1.528713,-0.5535375,-2.859674,0.1574936,-0.02604048,1.803436,0.3740387,-0.126711,-0.918716,0.4232044,0.9047877,0.04751007,0.825223,-0.4065753,0.3920502,static,-0.8974972006051192,-2.133641186241769,4.990963490715821,-0.8272574802097085,1.536125168,-0.7767499,0.5611090000000001,-0.0156527841658093,-0.0372258972808137,0.9991843051936902,0.1517910813503464,-3.2405812491807096,6.030215906306818,6.031633916329634,5.407561485683214
306,05/08/2023 09:15:22.057776,485,True,True,True,True,Eyes,0.131862,0.2383654,-3.571057,0.8049743,-0.4376512,0.4005968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.108943,-0.05936654,1.416152,-0.008835918,0.2221363,-3.409563,0.1362152,0.5366553,-0.1692263,0.8153583,23.81349,64.98241,351.846,0.05027928,0.06686992,-0.9964935,0.0,0.0,0.0,1.528713,-0.5535375,-2.859674,0.1579352,-0.03110047,1.800609,0.3667272,-0.1297589,-0.921235,0.4221613,0.9056158,0.04049594,0.8290302,-0.4037607,0.3868931,static,-0.9776564828138606,-2.3095389499928944,5.012704580148174,-0.9895254903833968,1.537548918,-0.7756738000000001,0.5498889999999999,-0.0170486406725772,-0.0402922869136256,0.9990424756528912,0.0521100269219514,-3.4157583869623167,6.132266300164456,6.134073784867759,5.522146719341981
307,05/08/2023 09:15:22.067623,486,True,True,True,True,Eyes,0.1263885,0.2375506,-3.563411,0.8069984,-0.4374599,0.3967146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.108243,-0.06799184,1.390363,-0.01072833,0.2208582,-3.398531,0.1360605,0.5398218,-0.170229,0.8130818,23.89385,65.43064,351.8305,0.04893352,0.06683907,-0.9965625,0.0,0.0,0.0,1.528713,-0.5535375,-2.859674,0.1556337,-0.02836442,1.798585,0.3592291,-0.1299232,-0.9241614,0.423717,0.9050192,0.0374701,0.8315156,-0.4050433,0.3801599,static,-1.14083977522216,-2.241609506934459,4.945553003702809,-0.903502945600543,1.53944133,-0.7743957,0.5388570000000001,-0.0198948655269364,-0.0391057461608387,0.9990370315992292,-0.0901034804808769,-3.351094388956693,6.230006119695919,6.23174985287719,5.598976701174193
308,05/08/2023 09:15:22.087430,487,True,True,True,True,Eyes,0.1211119,0.2369235,-3.555662,0.8090155,-0.4371235,0.3929592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.107443,-0.07280721,1.363675,-0.0118298,0.2214307,-3.387025,0.1367108,0.5429263,-0.1708784,0.8107663,24.03092,65.89011,351.9033,0.04757726,0.06680317,-0.9966307,0.0,0.0,0.0,1.528713,-0.5535375,-2.859674,0.1531547,-0.02613726,1.79661,0.3520634,-0.128637,-0.9270944,0.4255325,0.9042215,0.03613237,0.8336507,-0.4072297,0.3730825,static,-1.3334501250233628,-2.1092739917258787,4.872484272237631,-0.8334858697068619,1.5405428,-0.7749682,0.5273509999999999,-0.0232552350860158,-0.0367955069373433,0.9990521763488924,-0.2505297294840309,-3.223192571575864,6.334077275253691,6.335712830881145,5.652961222473918
309,05/08/2023 09:15:22.107590,488,True,True,True,True,Eyes,0.1159652,0.2363007,-3.547789,0.8109797,-0.4368659,0.3891787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.100138,-0.09829859,1.351008,-0.012831,0.22546,-3.37561,0.1350193,0.54484,-0.1733814,0.8092331,24.04502,66.1101,351.5951,0.04621694,0.06676812,-0.9966971,0.0,0.0,0.0,1.528713,-0.5535375,-2.859674,0.1585192,-0.02911171,1.795386,0.3461766,-0.1334841,-0.9286247,0.4277397,0.9034174,0.02959393,0.8349854,-0.4074543,0.3698384,static,-1.2811703626447768,-2.07890423386875,5.045705971337524,-0.9289545313160597,1.541544,-0.7789975,0.515936,-0.0223440684052978,-0.0362667054044343,0.99909229684489,-0.1975387143143898,-3.192355776533157,6.428838360728542,6.430532517910654,5.710919368233747
310,05/08/2023 09:15:22.117977,489,True,True,True,True,Eyes,0.1109314,0.2356199,-3.539857,0.8127724,-0.4369694,0.3853035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.094295,-0.1325662,1.333241,-0.01412049,0.2256933,-3.364317,0.1321806,0.5475445,-0.1771874,0.807049,24.04089,66.41192,351.1027,0.04485562,0.06673411,-0.9967615,0.0,0.0,0.0,1.528713,-0.5535375,-2.859674,0.1612883,-0.02875373,1.793142,0.3375994,-0.1412483,-0.9306319,0.4307474,0.9022657,0.01931647,0.8369489,-0.4073885,0.3654467,static,-1.2880148581338378,-2.1049260594605235,5.139769906571779,-0.9186813925358076,1.54283349,-0.7792308,0.5046429999999997,-0.0224630471848604,-0.0367203592709701,0.9990730927097136,-0.2076180817289177,-3.2181938456721464,6.5345933676430485,6.5363287395287095,5.820851812196534
311,05/08/2023 09:15:22.147523,490,True,True,True,True,Eyes,0.1060347,0.2350152,-3.53181,0.8144701,-0.4373646,0.3812488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.093022,-0.1405831,1.308151,-0.01734768,0.2235062,-3.353737,0.1348114,0.5503413,-0.182675,0.8034801,24.6897,66.80194,350.8063,0.04349598,0.06669952,-0.996824,0.0,0.0,0.0,1.528713,-0.5535375,-2.859674,0.1578779,-0.00598716,1.792551,0.3275086,-0.1451669,-0.9336299,0.441936,0.8969114,0.01556939,0.8351232,-0.4177037,0.3579007,static,-1.4736583109478891,-1.5131634570766055,5.033305068309594,-0.1913684596194088,1.54606068,-0.7770437,0.4940630000000001,-0.0257083915896821,-0.0263978865601726,0.9993208768036608,-0.29608630130404,-2.63586140372573,6.639058593393549,6.639858013112994,5.863271964040034
