,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
0,05/11/2023 13:23:45.041171,222,True,True,True,True,Eyes,-0.00105413,0.1885319,-3.028688,0.7007913,-0.0632998,-0.7105523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.625206,-0.5997599,-2.475003,-0.0120408,0.189583,-3.015054,0.0626807,0.9560423,-0.09012116,0.2719057,11.9118,148.681,4.1519,-0.02721903,0.06295026,-0.9976436,0.0,0.0,0.0,0.7488922,0.1642091,-4.426438,-0.5795999,0.4008002,1.915001,-0.8442773,0.07084189,-0.5312043,0.1688597,0.9758986,-0.1382328,0.5086088,-0.2064057,-0.8358914,moving,-44.60374,5.090776,-16.83912,11.82109
1,05/11/2023 13:23:45.061487,223,True,True,True,True,Eyes,-0.0009047628,0.1885496,-3.029033,0.7008696,-0.06320101,-0.7104839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.65172,-0.614208,-2.464605,-0.009919276,0.1899111,-3.02383,0.06226177,0.9545341,-0.09264255,0.2764156,12.19744,148.1241,3.968535,-0.02407466,0.06286236,-0.9977301,0.1792928,0.03286698,-0.5814393,0.7693597,0.1636839,-4.424225,-0.5759602,0.3982829,1.915,-0.8394356,0.06764627,-0.5392322,0.1700776,0.9750817,-0.1424407,0.5161599,-0.2112812,-0.8300235,moving,-44.6097,5.083359,-16.73931,11.74892
2,05/11/2023 13:23:45.081348,224,True,True,True,True,Eyes,-0.0006631773,0.1885598,-3.029727,0.7012204,-0.06296853,-0.7101584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.677083,-0.6118263,-2.459606,-0.007191606,0.1904559,-3.033195,0.06107948,0.9533707,-0.09186512,0.2809172,12.09186,147.567,3.802719,-0.0214166,0.06278564,-0.9977957,0.1685353,0.03089496,-0.5465529,0.7900056,0.1598537,-4.422004,-0.5720254,0.395562,1.914999,-0.8347099,0.06484979,-0.5468586,0.1680757,0.9756602,-0.1408465,0.5244143,-0.2094796,-0.8252928,moving,-44.63716,5.067067,-16.6313,11.67087
3,05/11/2023 13:23:45.092039,225,True,True,True,True,Eyes,-0.0003142931,0.1885582,-3.030754,0.7016643,-0.06261608,-0.709751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.703238,-0.6036685,-2.454928,-0.004779719,0.1902487,-3.04235,0.06022647,0.9522101,-0.09032294,0.2855002,11.9116,147.0055,3.698787,-0.01916067,0.06271763,-0.9978459,0.1584232,0.02904127,-0.5137597,0.8087155,0.1587759,-4.420607,-0.5681287,0.3928673,1.915,-0.8297248,0.06312209,-0.554592,0.166271,0.9764291,-0.1376235,0.5328327,-0.2064022,-0.8206629,moving,-44.67173,5.041729,-16.52419,11.59352
4,05/11/2023 13:23:45.111456,226,True,True,True,True,Eyes,0.0001299218,0.1885405,-3.032118,0.7024226,-0.06209491,-0.7090464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.73245,-0.5983469,-2.447236,-0.002114808,0.1899836,-3.0516,0.06040177,0.9507442,-0.08965893,0.290514,11.86349,146.3995,3.676827,-0.01723532,0.06265604,-0.997885,0.1489178,0.02729879,-0.4829341,0.8266996,0.1524154,-4.419782,-0.5643211,0.3902344,1.915001,-0.8239065,0.06275893,-0.5632401,0.1669476,0.9766258,-0.1353903,0.5415779,-0.2055805,-0.8151258,moving,-44.73112,5.004923,-16.41943,11.5179
5,05/11/2023 13:23:45.131430,227,True,True,True,True,Eyes,0.0006594784,0.1884944,-3.0338,0.7032744,-0.06150232,-0.7082531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.763655,-0.5831159,-2.44054,0.0005705208,0.1895388,-3.061178,0.06008044,0.9493108,-0.08716439,0.2959762,11.59877,145.7386,3.656528,-0.01550784,0.0625974,-0.9979171,0.1399827,0.02566086,-0.4539581,0.8438956,0.1484525,-4.419317,-0.5603176,0.3874658,1.915001,-0.817577,0.06247284,-0.5724204,0.1656671,0.9775854,-0.1299274,0.5514728,-0.2010569,-0.8096011,moving,-44.79791,4.962924,-16.30915,11.43834
6,05/11/2023 13:23:45.141297,228,True,True,True,True,Eyes,0.00127226,0.1884009,-3.035805,0.7044109,-0.06093447,-0.7071721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.795823,-0.5768129,-2.430351,0.003071569,0.1887868,-3.07061,0.0597763,0.9476435,-0.08632571,0.3015738,11.51742,145.0556,3.582418,-0.0139356,0.06253955,-0.997944,0.1315837,0.02412121,-0.4267206,0.8613697,0.1448403,-4.419175,-0.5566593,0.3849361,1.915,-0.8109603,0.0612261,-0.5818893,0.1653604,0.9779493,-0.1275581,0.5612484,-0.1996659,-0.8032025,moving,-44.88792,4.924807,-16.20828,11.36562
7,05/11/2023 13:23:45.161932,229,True,True,True,True,Eyes,0.00127226,0.1884009,-3.035805,0.7044109,-0.06093447,-0.7071721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.827309,-0.5748332,-2.419712,0.005640903,0.1875499,-3.080468,0.05961699,0.9459184,-0.08635001,0.3069662,11.53467,144.3951,3.497475,-0.0125005,0.06248022,-0.9979668,0.1236887,0.02267394,-0.4011174,0.878661,0.1414064,-4.418787,-0.5527487,0.3822325,1.915001,-0.8044354,0.05977252,-0.5910258,0.1657986,0.9779789,-0.1267593,0.570434,-0.1999609,-0.7966312,moving,-44.88792,4.924807,-16.10033,11.28784
8,05/11/2023 13:23:45.181376,230,True,True,True,True,Eyes,0.00127226,0.1884009,-3.035805,0.7044109,-0.06093447,-0.7071721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.858174,-0.5758515,-2.40797,0.008235332,0.1864343,-3.089968,0.05913097,0.9441566,-0.08677062,0.3123185,11.5829,143.7336,3.362447,-0.01120894,0.06242672,-0.9979855,0.1162674,0.0213135,-0.3770503,0.8961877,0.1402843,-4.418913,-0.5488946,0.3795668,1.915001,-0.7979216,0.05745766,-0.6000168,0.1658579,0.9779487,-0.1269147,0.5794934,-0.2007855,-0.7898563,moving,-44.88792,4.924807,-15.99383,11.21112
9,05/11/2023 13:23:45.191986,231,True,True,True,True,Eyes,0.00127226,0.1884009,-3.035805,0.7044109,-0.06093447,-0.7071721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.889565,-0.5845819,-2.393781,0.01076944,0.1855405,-3.099651,0.05835226,0.9422344,-0.08840058,0.3177653,11.75182,143.0512,3.149024,-0.01004633,0.06237848,-0.998001,0.1092913,0.02003469,-0.3544273,0.9134877,0.1404861,-4.419466,-0.5450847,0.3769323,1.915001,-0.7912406,0.05378174,-0.6091356,0.1661443,0.9775607,-0.1295035,0.5885021,-0.2036728,-0.7824213,moving,-44.88792,4.924807,-15.88844,11.13526
