Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,globalTargetVector.x,globalTargetVector.y,globalTargetVector.z,localEyeGazeX,localEyeGazeY,localEyeGazeZ,CalibratedGazeAngleX,CalibratedGazeAngleY,cosineError,euclideanError,recalibratedEuclideanError
0,05/10/2023 14:25:22.677631,181,True,True,True,True,Eyes,0.3813358,0.09294953,-0.3133132,-0.4770298,-0.1353335,0.868405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2852179,-0.03041667,0.4166505,0.3768838,0.09544674,-0.3236057,0.08676808,-0.1224437,9.517252e-05,0.9886754,9.880525,345.7743,358.7751,0.757607,0.1808427,-0.6271566,0,0,0,-0.9258314,-0.2615336,2.076241,-0.675059,0.08800852,2.668392,0.970015,-0.02106022,0.2421306,-0.0214366,0.9849426,0.1715476,-0.2420976,-0.1715942,0.9549577,moving,-14.459305428634748,1.5328257339774822,-14.197013754442928,1.8890363666010634,-1.3027152,-0.35698034,2.3998467,-0.24960850759597547,0.0259029508976652,0.9680002378128805,-12.3825741492412,2.0876683500011795,0.43497999204033266,0.4423606414956464,1.8252796349474958
1,05/10/2023 14:25:22.697640,182,True,True,True,True,Eyes,0.3813123,0.09294236,-0.3133047,-0.477147,-0.1353187,0.8683431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2836486,-0.03111901,0.4167229,0.3762216,0.09540533,-0.3231688,0.08555781,-0.1237578,0.0003804147,0.9886171,9.744912,345.6281,358.8125,0.7577779,0.1812667,-0.6268278,0,0,0,-0.9178708,-0.2623126,2.09282,-0.6557996,0.08437753,2.683737,0.9693677,-0.02042473,0.2447633,-0.02192907,0.9853594,0.1690737,-0.2446332,-0.169262,0.9547277,moving,-14.317764509426393,1.415735991025984,-13.731735481124183,1.8008040093944149,-1.2940924,-0.35771793,2.4159888,-0.24722858646944978,0.023939775237535307,0.9686614799248466,-12.262225908780625,1.9697877423640948,0.6969545191191369,0.701218511437785,1.4791936604845608
2,05/10/2023 14:25:22.717760,183,True,True,True,True,Eyes,0.3812436,0.09293409,-0.3132877,-0.4772833,-0.1353076,0.8682698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2818015,-0.03094444,0.4172967,0.3756681,0.09522215,-0.3229743,0.0853534,-0.1254231,0.0005308575,0.9884248,9.721777,345.4359,358.8163,0.7579305,0.1816474,-0.6265332,0,0,0,-0.9098485,-0.2630976,2.109527,-0.6344345,0.08588809,2.699653,0.9685375,-0.02036115,0.2480332,-0.02246,0.985429,0.1685977,-0.2478519,-0.168864,0.9539677,moving,-14.135804178219031,1.4046822100858078,-13.224873899492554,1.8222215164657805,-1.2855166,-0.35831975,2.4325012999999998,-0.244152015295621,0.023772008845994994,0.9694455248703779,-12.093202335062816,1.9575616212719629,0.9993586044678028,1.0020643916799787,1.139735703445232
3,05/10/2023 14:25:22.737344,184,True,True,True,True,Eyes,0.381133,0.09293267,-0.3132667,-0.4774227,-0.1353185,0.8681915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.280209,-0.030371,0.4176668,0.3751567,0.09515727,-0.322626,0.08593355,-0.1268475,0.0006184834,0.9881927,9.787513,345.2682,358.8034,0.7580636,0.181991,-0.6262723,0,0,0,-0.9019609,-0.2638694,2.125954,-0.6145118,0.09115678,2.714689,0.9678187,-0.02057856,0.2508059,-0.02302328,0.9852301,0.1696809,-0.2505933,-0.1699947,0.9530503,moving,-13.981104251660703,1.4755197672437337,-12.75482648391051,1.9232173775921433,-1.2771176,-0.35902667,2.44858,-0.24152645027433023,0.024987488401243776,0.9700724771021333,-11.941270092951047,2.027312942089235,1.30368859869055,1.30544640410477,0.8201889342212278
4,05/10/2023 14:25:22.747459,185,True,True,True,True,Eyes,0.3810042,0.09292609,-0.3132358,-0.477635,-0.1353357,0.868072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2785738,-0.03001713,0.4182119,0.3747104,0.09528015,-0.3223652,0.08638477,-0.1283797,0.0007689866,0.9879554,9.839338,345.089,358.7985,0.7581755,0.1823033,-0.6260449,0,0,0,-0.8939945,-0.2646489,2.142545,-0.5938538,0.0957562,2.730039,0.9670361,-0.02066065,0.2537997,-0.02369955,0.9850742,0.1704911,-0.253534,-0.170886,0.9521126,moving,-13.819182130595449,1.5344016787835881,-12.272129455770335,2.008827667104739,-1.2687049,-0.35992905000000003,2.4649102000000003,-0.23877780057232495,0.02600260961082751,0.9707260006566012,-11.783810593518744,2.0850749370146833,1.6170559576608603,1.6181631552714455,0.4942357305976651
5,05/10/2023 14:25:22.757689,186,True,True,True,True,Eyes,0.3808613,0.09291857,-0.3131957,-0.4779178,-0.1353697,0.8679112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.277197,-0.02972999,0.4184314,0.3741654,0.09515064,-0.3221078,0.08645369,-0.1295013,0.0009216852,0.9878028,9.848125,344.9591,358.8036,0.7582684,0.1825873,-0.6258489,0,0,0,-0.8842893,-0.2655986,2.162756,-0.5726891,0.09893212,2.747842,0.9664571,-0.02057085,0.2560029,-0.02421262,0.9850498,0.1705597,-0.2556842,-0.1710371,0.9515103,moving,-13.70932927448637,1.5486525630267,-11.77272560539527,2.061961934517756,-1.2584547,-0.36074924,2.4848638,-0.23691465775958737,0.026256386589425904,0.971175719127231,-11.679621381812755,2.0985947092765995,2.0027813894313513,2.003477048033657,0.10005176977662636
6,05/10/2023 14:25:22.777597,187,True,True,True,True,Eyes,0.3806767,0.09291686,-0.3131501,-0.4781799,-0.135343,0.8677709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2759057,-0.02937667,0.418696,0.3737077,0.09512091,-0.3218507,0.08660682,-0.1306406,0.001224083,0.9876392,9.868783,344.8283,358.8245,0.7583439,0.1828465,-0.6256812,0,0,0,-0.8784259,-0.2661723,2.174968,-0.5572504,0.1018279,2.758909,0.9658631,-0.02021082,0.2582635,-0.02504663,0.9849955,0.1707527,-0.2578395,-0.1713924,0.9508646,moving,-13.597049624755734,1.5822560945327102,-11.419092099004459,2.1137564868195726,-1.2521336,-0.36129321,2.4968187,-0.23500738632364088,0.026838754622666168,0.9716230179053272,-11.571177495604957,2.131429734252198,2.241413755257912,2.241872353854631,0.1531088225215827
7,05/10/2023 14:25:22.797978,188,True,True,True,True,Eyes,0.3804737,0.09291946,-0.3131049,-0.4785155,-0.1353064,0.8675916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.274672,-0.02942345,0.4187771,0.3731495,0.09519483,-0.3215309,0.08638468,-0.131623,0.001543287,0.9875277,9.847174,344.7174,358.8548,0.7584007,0.1830856,-0.6255423,0,0,0,-0.8703864,-0.266959,2.19171,-0.5392913,0.1030962,2.773528,0.965346,-0.01969235,0.2602294,-0.0257885,0.9850706,0.1702082,-0.2596961,-0.1710208,0.9504262,moving,-13.507887103284824,1.5749610444709234,-11.003425178710708,2.128790046432857,-1.2435359,-0.36215383,2.5132409,-0.23349579525954267,0.02672505564950696,0.9719905220774607,-11.488546838832224,2.1235623211018413,2.564700205071428,2.5649670748482594,0.4851498265806062
8,05/10/2023 14:25:22.817611,189,True,True,True,True,Eyes,0.3802559,0.09292982,-0.3130577,-0.4788431,-0.1351887,0.8674291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2731236,-0.02940993,0.4192388,0.3725291,0.09529313,-0.3215027,0.08610633,-0.1328359,0.001966703,0.9873889,9.820573,344.5808,358.8956,0.7584388,0.183308,-0.6254308,0,0,0,-0.8623386,-0.2677465,2.208471,-0.5198607,0.1042683,2.788608,0.9647015,-0.01899223,0.2626601,-0.02675983,0.9851636,0.1695183,-0.2619827,-0.1705633,0.9498807,moving,-13.392269957124677,1.5713037606396005,-10.560032452001414,2.141337817930398,-1.2348677,-0.36303963,2.5299736999999998,-0.23153422886296818,0.02667586873529596,0.9724609202657751,-11.380804348098405,2.1191563789891132,2.8889094512700684,2.8890323833246065,0.8210715691437352
9,05/10/2023 14:25:22.828138,190,True,True,True,True,Eyes,0.3800226,0.0929408,-0.313006,-0.4792621,-0.1350536,0.8672188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2713811,-0.02934678,0.4198205,0.3719043,0.09545143,-0.3214566,0.08604847,-0.134258,0.002289492,0.9872007,9.817413,344.4179,358.9193,0.7584589,0.1835174,-0.6253451,0,0,0,-0.8541462,-0.2685482,2.225532,-0.4989158,0.106418,2.804034,0.9639391,-0.01858502,0.2654732,-0.02762577,0.9851809,0.1692795,-0.2646852,-0.170509,0.9491409,moving,-13.257611162573516,1.5889319395807595,-10.088934016961598,2.1734320642012026,-1.2260505,-0.36399963,2.5469885999999997,-0.22924615738375667,0.02699008746631157,0.9729942532955438,-11.253071767636508,2.1358881753719268,3.222108027812337,3.2221352002677675,1.1647429957440663
