Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
05/09/2023 18:19:10.566808,182,True,True,True,True,Eyes,1.045809,-0.1723042,-3.47296,-0.5016721,0.4015022,0.7662382,1.128807,0.4795174,0.2809145,-2.608025,0.2961055,-0.9192818,-0.2593116,0.009698004,-0.0009390712,1.139794,1.055896,-0.175556,-3.479029,-0.1989199,-0.2843142,-0.0500975,0.936529,336.3546,325.9728,1.205743,0.2878105,-0.04748161,-0.9565093,0,0,0,0.4750769,0.2947007,-2.604136,0.008411974,0.009429812,1.150552,0.8333114,0.01927599,0.5524677,0.206947,0.9158422,-0.3441017,-0.5126061,0.4010754,0.7591926,moving,-33.2136,27.65415,0.4188962,0.46958
05/09/2023 18:19:10.586886,183,True,True,True,True,Eyes,1.046004,-0.172302,-3.47295,-0.502187,0.4010285,0.7661491,1.124067,0.4815125,0.2784809,-2.611748,0.1305492,-0.8548852,-0.5021238,0.01201573,0.0008581579,1.1349,1.055905,-0.1755719,-3.478957,-0.1979318,-0.2855962,-0.0499155,0.9363581,336.473,325.821,1.223632,0.2878309,-0.04747869,-0.9565033,0,0,0,0.4795541,0.2913054,-2.604215,0.01481515,0.009632111,1.146741,0.8318865,0.01957962,0.5546004,0.2065347,0.9166629,-0.3421588,-0.5150809,0.3991815,0.7585155,moving,-33.2436,27.62909,0.7401832,0.4812475
05/09/2023 18:19:10.601313,184,True,True,True,True,Eyes,1.046194,-0.1723038,-3.472941,-0.5027019,0.4005445,0.7660646,1.121638,0.4823439,0.2769622,-2.613693,-0.05034017,-0.7768728,-0.6276421,0.01293302,0.00146991,1.132375,1.055948,-0.1756709,-3.478878,-0.1974348,-0.2862687,-0.04996863,0.9362547,336.5276,325.7443,1.216409,0.2878543,-0.04747594,-0.9564964,0,0,0,0.4830992,0.2886171,-2.604277,0.01902086,0.009102255,1.143766,0.8311067,0.01947211,0.555772,0.2066056,0.9170453,-0.3410897,-0.5163099,0.3983075,0.7581394,moving,-33.27342,27.60326,0.9527425,0.4559586
05/09/2023 18:19:10.616999,185,True,True,True,True,Eyes,1.046381,-0.1723027,-3.472929,-0.5031428,0.4000902,0.7660125,1.120106,0.4828076,0.2758408,-2.614914,-0.2852704,-0.6500495,-0.7043128,0.01306808,0.001919299,1.130819,1.055993,-0.1757643,-3.47888,-0.1970529,-0.286506,-0.04989579,0.9362665,336.5731,325.7186,1.216618,0.2878802,-0.04747345,-0.9564887,0,0,0,0.4870873,0.2855927,-2.604348,0.02269015,0.008151799,1.140495,0.8308495,0.01948216,0.5561562,0.2063452,0.9173611,-0.3403971,-0.5168277,0.3975789,0.758169,moving,-33.29826,27.57817,1.139749,0.4095201
05/09/2023 18:19:10.636937,186,True,True,True,True,Eyes,1.046553,-0.1723011,-3.472914,-0.5035583,0.399634,0.7659777,1.120981,0.4820735,0.2756809,-2.614268,-0.5956201,-0.4625398,-0.6567296,0.01279518,0.001692563,1.131564,1.056009,-0.1756237,-3.478864,-0.1968512,-0.2865385,-0.04994029,0.9362967,336.5941,325.7187,1.204615,0.2879083,-0.04747112,-0.9564803,0,0,0,0.4910083,0.2826193,-2.604417,0.0258317,0.006552726,1.137172,0.8308033,0.01929306,0.5562317,0.2063288,0.9175112,-0.3400026,-0.5169085,0.3972419,0.7582906,moving,-33.32116,27.55243,1.301292,0.3301517
05/09/2023 18:19:10.646654,187,True,True,True,True,Eyes,1.046714,-0.1723045,-3.472897,-0.5039397,0.3991911,0.7659577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.058443,-1.237951,3.254966,1.055792,-0.175674,-3.478803,-0.1966128,-0.2861908,-0.04967507,0.9364672,336.6295,325.7612,1.217175,0.2879381,-0.04746894,-0.9564715,0,0,0,0.4950302,0.2795693,-2.604488,0.02846697,0.005420595,1.133705,0.8312545,0.01949939,0.5555501,0.2055757,0.9177517,-0.3398097,-0.5164831,0.3966758,0.7588764,moving,-33.34176,27.52699,1.438376,0.2739468
05/09/2023 18:19:10.666721,188,True,True,True,True,Eyes,1.046862,-0.1723197,-3.472875,-0.5043592,0.3986855,0.765945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05835,-1.236171,3.255623,1.055536,-0.1758025,-3.478827,-0.1963778,-0.2862292,-0.04915747,0.9365321,336.6736,325.7488,1.269421,0.2879691,-0.04746703,-0.9564623,0,0,0,0.4991033,0.2764806,-2.60456,0.03222784,0.004449219,1.130248,0.8313128,0.02034301,0.5554325,0.2044932,0.9180387,-0.3396875,-0.5168187,0.3959687,0.7590172,moving,-33.36409,27.49763,1.633286,0.2255435
05/09/2023 18:19:10.686778,189,True,True,True,True,Eyes,1.046997,-0.1723431,-3.472857,-0.5047833,0.3981922,0.7659222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.060293,-1.230158,3.257104,1.055371,-0.1760828,-3.47871,-0.1955747,-0.2866561,-0.04811641,0.9366236,336.7998,325.6848,1.371005,0.2880009,-0.0474657,-0.9564527,0,0,0,0.5031369,0.2734218,-2.604631,0.03677636,0.005226582,1.126788,0.8310262,0.02199144,0.5557984,0.2022593,0.9188707,-0.3387741,-0.518157,0.3939455,0.7591576,moving,-33.387,27.46929,1.869369,0.2657633
05/09/2023 18:19:10.696820,190,True,True,True,True,Eyes,1.047131,-0.1723586,-3.472831,-0.5052068,0.3975914,0.7659551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.062282,-1.222069,3.259439,1.055479,-0.1762549,-3.478611,-0.1944519,-0.2870989,-0.04720239,0.9367682,336.9574,325.627,1.445814,0.288033,-0.04746512,-0.9564431,0,0,0,0.5071396,0.2703864,-2.604701,0.04097867,0.00646776,1.123459,0.8306924,0.02321842,0.5562474,0.2000892,0.9199208,-0.3372091,-0.519533,0.3914161,0.7595254,moving,-33.40795,27.43289,2.088963,0.3298484
05/09/2023 18:19:10.717064,191,True,True,True,True,Eyes,1.047264,-0.1723732,-3.472804,-0.5055006,0.3970531,0.7660405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.059642,-1.212006,3.263853,1.055588,-0.1760522,-3.478401,-0.1929692,-0.2869157,-0.04622922,0.9371794,337.1561,325.6537,1.497377,0.2880655,-0.047465,-0.9564332,0,0,0,0.51132,0.2672162,-2.604775,0.04375044,0.008123428,1.119803,0.8310845,0.02408161,0.5556245,0.1973819,0.9212515,-0.3351656,-0.5199414,0.3882212,0.7608845,moving,-33.42032,27.39855,2.237395,0.4156357
