,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,globalTargetVector.x,globalTargetVector.y,globalTargetVector.z
0,05/04/2023 16:24:49.148181,241,True,True,True,True,Eyes,0.1382046,0.1465626,-3.028995,0.8809268,-0.1067863,0.4610472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.729875,0.05336577,0.7377753,0.00567406,0.151795,-2.824235,0.07302989,0.6061054,-0.03575388,0.7912172,9.143415,75.05555,1.854452,0.06306493,0.04665457,-0.9969181,0.0,0.0,0.0,0.8717735,0.1384856,-2.609427,0.06490082,0.07413983,0.9361592,0.2627158,0.03194945,-0.9643441,0.1451058,0.9867766,0.07222375,0.9538997,-0.1589062,0.2546057,moving,62.37397,-13.04072,33.70016265435314,0.1963652303279215,1.01996194,-0.154247622,0.2199049999999998
1,05/04/2023 16:24:49.168240,242,True,True,True,True,Eyes,0.1330258,0.1466682,-3.019687,0.8866474,-0.1090992,0.4493926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.729715,0.05577315,0.700491,0.003597278,0.1515725,-2.814632,0.07539915,0.6113007,-0.03727113,0.7869166,9.452703,75.84334,1.947632,0.06131185,0.04681777,-0.9970198,0.0,0.0,0.0,0.874391,0.136088,-2.60934,0.06946573,0.07063894,0.9329446,0.2498448,0.03352455,-0.9677055,0.1508416,0.9858517,0.07309793,0.9564647,-0.1642334,0.241253,moving,63.12207,-13.64572,34.43206169620951,-0.2379523553481261,1.024344722,-0.156137905,0.2103790000000001
2,05/04/2023 16:24:49.178014,243,True,True,True,True,Eyes,0.1280005,0.14674,-3.010347,0.8922482,-0.1113089,0.4376113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.729445,0.05020624,0.6611784,0.001491349,0.1515235,-2.804743,0.07615969,0.6169207,-0.03886462,0.7823672,9.620553,76.67593,1.927171,0.05957754,0.04698328,-0.9971172,0.0,0.0,0.0,0.8770792,0.1336256,-2.609251,0.07326216,0.06605077,0.9300693,0.2357969,0.03315618,-0.9712366,0.1547818,0.9853785,0.0712169,0.959397,-0.1671224,0.2272173,moving,63.87394,-14.27088,35.20430715513478,-0.6223999214013941,1.029018651,-0.158440947,0.2005750000000001
3,05/04/2023 16:24:49.197966,244,True,True,True,True,Eyes,0.1231213,0.1467533,-3.000944,0.8976231,-0.1134059,0.4259249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.728624,0.03799309,0.6206958,2.156841e-05,0.1507659,-2.794524,0.07498555,0.6227437,-0.04004789,0.7777941,9.585882,77.51682,1.807171,0.05786385,0.04714992,-0.9972101,0.0,0.0,0.0,0.8795297,0.131381,-2.60917,0.07868218,0.06058682,0.9271773,0.2211728,0.03109553,-0.9747388,0.1556916,0.9855466,0.06676747,0.9627268,-0.1665258,0.2131348,moving,64.61552,-14.90955,35.96146964060925,-0.8982486098527765,1.03306643159,-0.160044915,0.1904409999999998
4,05/04/2023 16:24:49.218601,245,True,True,True,True,Eyes,0.1183983,0.1467115,-2.991502,0.9028553,-0.1153708,0.414176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.726396,0.03040075,0.5814769,-0.001386871,0.1494054,-2.783873,0.0742467,0.6282866,-0.04066437,0.7733628,9.551672,78.32901,1.766546,0.05617263,0.04731585,-0.9972991,0.0,0.0,0.0,0.8819219,0.1291897,-2.609091,0.08543503,0.05705302,0.9241721,0.2072047,0.0303998,-0.9778253,0.156193,0.9856676,0.06374148,0.9657484,-0.165937,0.1994867,moving,65.35717,-15.56545,36.70662078603716,-1.1262754267798447,1.037017871,-0.16101379,0.1798739999999998
5,05/04/2023 16:24:49.238260,246,True,True,True,True,Eyes,0.113819,0.1465958,-2.981975,0.9078405,-0.1172764,0.4025815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.723104,0.0216894,0.5456951,-0.002479173,0.1480215,-2.773379,0.07307047,0.6333278,-0.0411535,0.7693264,9.471524,79.06475,1.698393,0.05450652,0.04747938,-0.9973837,0.0,0.0,0.0,0.8843997,0.12692,-2.609009,0.09174559,0.05163319,0.9217546,0.1944047,0.02923415,-0.9804858,0.1558761,0.9859343,0.06030279,0.9684574,-0.1645574,0.1871133,moving,66.08513,-16.24142,37.38482568238146,-1.4151380744811335,1.040749173,-0.16204738,0.1694679999999997
6,05/04/2023 16:24:49.248055,247,True,True,True,True,Eyes,0.1094143,0.1464296,-2.97241,0.9126869,-0.119117,0.3909139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.719316,0.01735559,0.5105107,-0.003462248,0.1462054,-2.763008,0.07266645,0.6381919,-0.04149677,0.7653162,9.450264,79.78937,1.698277,0.05286611,0.0476386,-0.9974644,0.0,0.0,0.0,0.8871133,0.1244344,-2.608919,0.0953134,0.04752671,0.919567,0.1819784,0.02923397,-0.982868,0.1562666,0.9859952,0.05825983,0.9708064,-0.1641914,0.1748615,moving,66.81402,-16.94672,38.07495068773789,-1.681752446487347,1.044339248,-0.16261895,0.159183
7,05/04/2023 16:24:49.268146,248,True,True,True,True,Eyes,0.1051796,0.1461556,-2.96278,0.9173036,-0.1208882,0.3793945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.715161,0.01544902,0.4738009,-0.003800385,0.1448363,-2.752423,0.07282664,0.6431368,-0.04166001,0.7611411,9.465219,80.53874,1.757784,0.05125431,0.04779229,-0.9975412,0.0,0.0,0.0,0.8895501,0.1222022,-2.608838,0.09600693,0.04941853,0.9178106,0.169279,0.03025668,-0.9851037,0.1570933,0.9859214,0.05727652,0.9729679,-0.1644489,0.1621427,moving,67.53014,-17.67368,38.744253216570165,-1.8606017413223024,1.0472163849999998,-0.16357569,0.1486819999999999
8,05/04/2023 16:24:49.288100,249,True,True,True,True,Eyes,0.1011162,0.1457816,-2.9531,0.9217415,-0.1226596,0.3678958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.710048,0.01511465,0.4387598,-0.003828716,0.1422397,-2.741688,0.07263646,0.6477894,-0.04133604,0.7572213,9.413467,81.24349,1.830066,0.0496729,0.04793758,-0.9976142,0.0,0.0,0.0,0.8921563,0.1198149,-2.608752,0.09601548,0.04907575,0.9162145,0.1573205,0.0315052,-0.9870449,0.1567073,0.9860306,0.05644967,0.975035,-0.1635578,0.1501857,moving,68.24152,-18.43883,39.45132080591303,-2.200816278302385,1.0497737159999998,-0.16329579,0.1380309999999998
9,05/04/2023 16:24:49.298204,250,True,True,True,True,Eyes,0.09722846,0.1452877,-2.94335,0.9258746,-0.1244561,0.3567448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.703254,0.01783586,0.4104261,-0.004026511,0.1392807,-2.730739,0.07372829,0.651431,-0.04191357,0.7539529,9.54272,81.81478,1.909283,0.04812387,0.04807204,-0.9976837,0.0,0.0,0.0,0.8946035,0.1175733,-2.608671,0.09632924,0.04317264,0.915264,0.1477618,0.03285608,-0.9884772,0.1592595,0.9856148,0.05656774,0.9761164,-0.1657829,0.1404035,moving,68.92804,-19.23214,40.17535167588478,-2.6916432476193703,1.052582511,-0.16272895,0.1271689999999998
